fantoir_ban,fantoir_bano,voie,nb_ban,nb_bano,diff
2905,,"",1,,1
4042,,"",1,,1
X043,,"",1,,1
9110,9110,"",1,4,-3
5240,,"",1,,1
3917,,"",1,,1
5697,,"",2,,2
X048,,"",1,,1
"",,allée alexandre dumas,1,,1
,0128,Allée Alexandre Dumas,,1,-1
0335,0335,allée arago,20,20,0
0542,0542,allée baden powell,8,1,7
0575,0575,allée balzac,9,4,5
0990,0990,allée blériot,6,6,0
1070,1070,allée bordelaise,6,9,-3
1215,1215,allée branly,3,4,-1
1600,1600,allée carmouze,5,6,-1
1865,1865,allée chantilly,6,6,0
2315,2315,allée corneille,2,3,-1
2490,2490,allée davezac,29,28,1
1165,1165,allée de boutaut,5,25,-20
1990,1990,allée de chartres,31,31,0
2043,2043,allée de la chênaie,11,11,0
6799,6799,allée de l'orangeraie,24,11,13
9135,9135,allée de l'union,6,6,0
6972,6972,allée de passy,25,25,0
3750,3750,allée des frères lumière,14,12,2
6081,6081,allée des marronniers,13,13,0
6976,6976,allée des pasteurines,34,41,-7
7210,7210,allée des peupliers,69,67,2
7345,7345,allée des pins,61,65,-4
8075,8075,allée des roses,14,14,0
9030,9030,allée de tourny,51,52,-1
9175,9175,allée de vampeule,25,32,-7
2676,2676,allée dieudonné costes,11,11,0
6805,6805,allée d'orléans,16,17,-1
2850,2850,allée du duc de sully,9,9,0
"",,allée du parc de bacalan,7,,7
6922,6922,allée du parc du consul,25,14,11
9093,9093,allée du trident,11,6,5
3300,3300,allée eugène delacroix,23,28,-5
3345,3345,allée fabelle,28,25,3
3646,3646,allée francis delobelle,4,4,0
3820,3820,allée ganda,28,33,-5
3970,3970,allée george sand,10,11,-1
3759,,allée haussmann,2,,2
4318,4318,allée haussmann,23,14,9
4377,4377,allée henri moreau,9,9,0
4571,4571,allée jean benais,50,2,48
4619,4619,allée jean giono,10,6,4
5021,5021,allée lafayette caud,9,8,1
"",,allée listrac,2,,2
,5577,Allée Listrac,,10,-10
5710,5710,allée louvois,33,32,1
6315,6315,allée mermoz,8,7,1
6395,6395,allée mirabeau,42,46,-4
6420,6420,allée mistral,8,6,2
6455,6455,allée monge,16,17,-1
6505,6505,allée montesquieu,7,7,0
7714,7714,allée queyret,4,4,0
7797,,allée raymond-jean dupouy,2,,2
8035,8035,allée roland garros,4,4,0
8045,8045,allée ronsard,9,5,4
8220,8220,allée saint-exupéry,8,8,0
8762,8762,allée stendhal,9,9,0
9374,9374,allée vignolles,21,21,0
0005,0005,avenue abadie,5,4,1
0160,0160,avenue alfred grimal,27,28,-1
0196,0196,avenue alsace lorraine,68,71,-3
"",,avenue andré reinson,11,,11
0765,0765,avenue bel-air,27,26,1
1605,1605,avenue carnot,63,64,-1
1915,1915,avenue charles de gaulle,116,113,3
0355,0355,avenue d'ares,216,275,-59
1677,1677,avenue de cauderan,10,14,-4
4915,4915,avenue de labarde,95,82,13
3841,3841,avenue de la gare,40,45,-5
4531,4531,avenue de la jallère,8,4,4
7550,7550,avenue de la préservation,40,46,-6
7900,7900,avenue de la république caud,220,235,-15
5207,,avenue de laroque,2,,2
6305,6305,avenue de mérignac,28,29,-1
6405,6405,avenue de mirande,25,18,7
6410,6410,avenue de mirmont,33,37,-4
7161,,avenue de pernon,2,,2
9096,9096,avenue des 3 cardinaux,1,8,-7
7708,7708,avenue des 40 journaux,2,8,-6
0523,0523,avenue des azalées,8,9,-1
,2046,Avenue des Chênes,,8,-8
3637,,avenue des français libres,1,,1
8765,8765,avenue de strasbourg,38,38,0
9043,9043,avenue de tourville,2,13,-11
9245,9245,avenue de verdun,83,74,9
3340,3340,avenue d'eysines,68,335,-267
"",,avenue d'eysines,141,,141
2728,2728,avenue du docteur schinazi,24,31,-7
3920,3920,avenue du général leclerc,114,111,3
4730,4730,avenue du jeu de paume,42,40,2
6000,6000,avenue du maréchal de lattre de tassigny,174,181,-7
6920,6920,avenue du parc de lescure,80,82,-2
3140,3140,avenue émile counord,86,131,-45
3340,3340,avenue eysines caud,58,335,-277
3430,3430,avenue félix faure,23,29,-6
3984,3984,avenue georges clémenceau caud,27,28,-1
4705,4705,avenue jeanne d'arc,88,88,0
5366,5366,avenue léon blum,15,15,0
5620,5620,avenue louis barthou,159,150,9
"",,avenue marcel dassault,3,,3
6225,6225,avenue maurice martin,6,9,-3
6475,6475,avenue monrabeau,32,31,1
7810,7810,avenue raymond poincaré,24,23,1
8180,8180,avenue saint-amand,52,52,0
8920,8920,avenue thiers,330,322,8
9235,9235,avenue vercingétorix,34,36,-2
0080,0080,boulevard albert 1er,197,161,36
0085,0085,boulevard albert brandenburg,87,88,-1
0155,0155,boulevard alfred daney,38,45,-7
0320,0320,boulevard antoine gautier,59,63,-4
7560,7560,boulevard du président franklin roosevelt,139,145,-6
7566,7566,boulevard du président wilson,322,332,-10
4012,4012,boulevard georges pompidou,58,61,-3
,5054,Boulevard Georges Pompidou,,51,-51
3965,3965,boulevard george V,109,154,-45
4070,4070,boulevard godard,35,125,-90
4635,4635,boulevard jean jacques bosc,69,68,1
4870,4870,boulevard jules simon,91,86,5
5735,5735,boulevard ludovic trarieux,50,49,1
6005,6005,boulevard maréchal leclerc,97,97,0
7265,7265,boulevard pierre 1er,46,42,4
5030,5030,chemin lafitte,115,117,-2
6220,6220,chemin maurice lagardère,45,48,-3
7394,7394,chemin pomerol,10,34,-24
0531,0531,cité babin,23,26,-3
1291,1291,cité brulatour,16,17,-1
,A012,Cité Calvimont,,1,-1
,1705,Cité Cazalet,,4,-4
1855,1855,cité chantecrit,8,7,1
,2060,Cité Christian Solar,,32,-32
2102,,cité claverie,2,,2
