dept,nb_adr_err,nb_err,nb_adr,pct_adr_err
01,126452,205400,270370,46.0
02,40128,54116,254905,15.0
03,63782,126058,184500,34.0
04,63754,116338,100266,63.0
05,59742,113948,78399,76.0
06,111860,151599,276346,40.0
07,140178,305789,194134,72.0
08,42320,56169,145045,29.0
09,56462,99937,113698,49.0
10,23079,28754,145056,15.0
11,87505,129916,270922,32.0
12,118303,277901,174551,67.0
13,261500,349044,601453,43.0
14,123261,221388,316188,38.0
15,58216,133488,86602,67.0
16,115006,219812,213510,53.0
17,104197,156859,424936,24.0
18,55509,92506,183190,30.0
19,92236,212765,153313,60.0
21,49363,61410,207152,23.0
22,175862,320652,375026,46.0
23,65779,133841,96482,68.0
24,168467,225471,268120,62.0
25,41419,57541,195960,21.0
26,151553,265997,256722,59.0
27,66406,86972,283546,23.0
28,41833,68561,197337,21.0
29,196047,364183,492929,39.0
2A,55013,128234,59742,92.0
2B,63757,153955,70902,89.0
30,148941,238791,370333,40.0
31,125376,186777,451919,27.0
32,67245,124349,103794,64.0
33,223978,356489,709947,31.0
34,126092,179136,462455,27.0
35,203186,438362,441775,45.0
36,66543,135706,153419,43.0
37,77094,127289,271438,28.0
38,183626,280308,447336,41.0
39,35907,50368,135877,26.0
40,51052,60420,228018,22.0
41,45579,76183,190574,23.0
42,132842,267971,280991,47.0
43,95102,223417,139465,68.0
44,185849,347663,570097,32.0
45,64100,94000,290347,22.0
46,99029,225781,125413,78.0
47,101337,152492,184199,55.0
48,46588,94901,59312,78.0
49,118595,213279,352825,33.0
50,122511,248055,299304,40.0
51,36261,50368,218704,16.0
52,27891,39275,108025,25.0
53,70209,150010,162998,43.0
54,48286,60121,279687,17.0
55,16783,22443,103827,16.0
56,192897,407300,426916,45.0
57,61565,77236,381357,16.0
58,64210,108828,143169,44.0
59,180755,230742,1041357,17.0
60,43177,52566,304392,14.0
61,87477,168269,167873,52.0
62,89086,107495,668890,13.0
63,143640,300650,313990,45.0
64,112707,177799,268623,41.0
65,46478,79639,122830,37.0
66,76112,118967,261665,29.0
67,35255,41779,321641,10.0
68,32766,42077,253157,12.0
69,136874,214146,389517,35.0
70,35403,48998,128095,27.0
71,125177,241593,277889,45.0
72,99521,202395,273052,36.0
73,101486,161030,173961,58.0
74,97137,125180,292023,33.0
75,15849,17424,127130,12.0
76,117767,154518,490472,24.0
77,68910,86770,445355,15.0
78,51092,60560,345729,14.0
79,73515,115296,207988,35.0
80,42306,54255,274719,15.0
81,90317,189639,210110,42.0
82,52782,87108,128500,41.0
83,216930,296375,484228,44.0
84,125938,190723,284830,44.0
85,136105,246349,442994,30.0
86,78833,141949,224631,35.0
87,91308,201402,192565,47.0
88,36872,54244,190422,19.0
89,46767,70216,208711,22.0
90,5755,6742,45823,12.0
91,40547,47511,325632,12.0
92,25097,26828,173430,14.0
93,19264,22301,228261,8.0
94,20534,22713,198081,10.0
95,66266,77933,297401,22.0
97,346190,668347,748769,46.0
